wage,income,age,educ,public,tenure,experience,subordinates,otherjob,internet,trust,urban,region,sex
25000.0,25000,27,5.0,0.0,0.0,3.0,1,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
6000.0,6000,48,1.0,0.0,13.0,25.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
3000.0,3000,22,3.0,1.0,0.0,0.0,0,1,1,1,1,Волго-Вятский и Поволжский экономический район,male
6000.0,6600,34,4.0,1.0,15.0,17.0,1,1,0,0,1,Волго-Вятский и Поволжский экономический район,female
8000.0,18000,27,2.0,1.0,3.0,11.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,female
6000.0,13000,24,5.0,1.0,1.0,3.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,female
8500.0,8500,26,5.0,1.0,7.0,6.0,0,0,1,0,1,Восточный и Дальне-Восточный экономический район,male
16000.0,16000,54,5.0,1.0,30.0,31.0,0,0,1,0,0,Северно-Кавказский экономический район,female
25000.0,25000,55,5.0,1.0,30.0,35.0,1,0,0,0,0,Северно-Кавказский экономический район,male
5000.0,5000,49,2.0,0.0,0.0,32.0,0,0,1,0,0,Северно-Кавказский экономический район,female
2500.0,2500,48,1.0,1.0,13.0,29.0,0,0,0,0,0,Северно-Кавказский экономический район,female
2400.0,4500,48,4.0,1.0,25.0,28.0,0,0,0,0,0,Северно-Кавказский экономический район,female
2000.0,2200,26,4.0,1.0,6.0,6.0,0,0,0,0,0,Северно-Кавказский экономический район,female
5400.0,8100,54,1.0,1.0,18.0,38.0,0,0,0,0,0,Северно-Кавказский экономический район,female
6000.0,9300,57,2.0,1.0,3.0,41.0,0,0,0,0,0,Восточный и Дальне-Восточный экономический район,male
17000.0,17000,53,0.0,1.0,26.0,28.0,1,0,0,0,0,Северно-Кавказский экономический район,male
16000.0,16000,49,5.0,1.0,25.0,25.0,1,0,0,0,0,Северно-Кавказский экономический район,female
4000.0,4500,40,4.0,0.0,20.0,20.0,0,0,0,0,0,Северно-Кавказский экономический район,female
8000.0,8000,25,2.0,1.0,2.0,6.0,0,0,0,0,0,Северно-Кавказский экономический район,male
700.0,700,27,4.0,0.0,2.0,9.0,1,0,0,0,0,Северно-Кавказский экономический район,female
2300.0,2300,31,4.0,0.0,10.0,10.0,0,1,0,0,0,Северно-Кавказский экономический район,male
3600.0,3600,23,5.0,1.0,0.0,3.0,0,0,0,0,0,Северно-Кавказский экономический район,female
7000.0,7000,24,5.0,1.0,4.0,4.0,0,1,0,0,0,Северно-Кавказский экономический район,male
6500.0,6500,31,2.0,1.0,10.0,10.0,1,0,0,0,0,Северно-Кавказский экономический район,male
14000.0,14000,42,1.0,1.0,0.0,26.0,0,0,0,0,0,Северно-Кавказский экономический район,male
8000.0,8000,33,5.0,1.0,3.0,16.0,0,0,0,0,0,Северно-Кавказский экономический район,female
7000.0,7000,45,3.0,1.0,27.0,26.0,0,0,0,0,0,Северно-Кавказский экономический район,male
4000.0,4000,33,0.0,0.0,4.0,15.0,0,0,0,0,0,Северно-Кавказский экономический район,female
15000.0,15000,34,0.0,0.0,9.0,14.0,1,0,1,0,0,Северно-Кавказский экономический район,male
3600.0,3600,43,3.0,0.0,3.0,26.0,0,0,0,0,0,Северно-Кавказский экономический район,female
12500.0,14360,52,5.0,1.0,24.0,31.0,1,0,0,0,0,Северно-Кавказский экономический район,female
2500.0,2500,43,4.0,1.0,0.0,23.0,0,1,1,0,0,Северно-Кавказский экономический район,female
6000.0,6000,21,2.0,0.0,0.0,0.0,0,1,1,0,0,Северно-Кавказский экономический район,female
2500.0,2500,41,5.0,0.0,3.0,6.0,0,1,0,0,0,Северно-Кавказский экономический район,male
18000.0,22700,47,0.0,1.0,5.0,28.0,1,0,0,0,0,Северно-Кавказский экономический район,male
4000.0,4900,49,1.0,1.0,6.0,32.0,0,0,0,0,0,Северно-Кавказский экономический район,female
